source_labware,dest_labware,num_samples,repeat,unoptimized,rowwise,greedy,VRP
96,384,3835,1,11039,7951,11271.61,6692.64
384,12,7,1,18,18,14.23,16.31
384,12,19,1,56,57,56.39,48.7
384,12,31,1,91,91,86.84,79.51
384,12,43,1,118,115,119.27,90.89
384,12,55,1,151,157,161.26,128.5
384,12,67,1,190,194,194.84,148.38
384,12,79,1,210,215,223.13,160.93
384,12,91,1,242,244,254.17999999999998,192.22
384,12,103,1,283,279,292.04,218.61
384,12,115,1,314,300,338.48,236.86
384,24,19,1,55,56,54.22,50.42
384,24,43,1,126,123,126.49,98.26
384,24,67,1,173,178,190.04000000000002,137.95
384,24,91,1,252,246,265.52,189.39
384,24,115,1,320,320,345.38000000000005,241.1
384,24,139,1,370,356,406.29999999999995,282.56
384,24,163,1,438,411,465.04,307.31
384,24,187,1,490,478,538.55,360.33
384,24,211,1,588,556,621.25,414.82
384,24,235,1,652,609,699.52,458.87
384,96,91,1,255,249,259.84000000000003,214.87
384,96,187,1,528,503,562.72,403.52
384,96,283,1,777,727,839.26,568.81
384,96,379,1,1082,956,1120.4599999999998,744.89
384,96,475,1,1359,1172,1413.1299999999999,933.06
384,96,571,1,1652,1396,1692.9499999999998,1092.95
384,96,667,1,1959,1584,1999.25,1272.75
384,96,763,1,2213,1799,2258.4500000000003,1429.34
384,96,859,1,2510,2005,2544.31,1576.38
384,96,955,1,2820,2182,2830.15,1751.55
384,384,379,1,1070,948,1126.38,833.45
384,384,763,1,2261,1788,2294.7,1546.28
384,384,1147,1,3446,2597,3460.17,2247.45
384,384,1531,1,4525,3416,4530.37,2890.45
384,384,1915,1,5678,4234,5694.88,3597.2
384,384,2299,1,6854,5024,6890.0599999999995,4370.2
384,384,2683,1,7979,5754,7995.99,5033.0
384,384,3067,1,9118,6570,9137.47,5738.38
384,384,3451,1,10264,7425,10287.96,6420.34
384,384,3835,1,11400,8138,11448.97,7115.01
