# num_candidates,non_optimized_distance,optimized_distance,VRP_distance
1.00,5.00,0.00,10.00
2.00,33.00,0.00,21.00
3.00,41.00,0.00,27.00
4.00,54.00,0.00,34.00
5.00,73.00,0.00,42.00
6.00,81.00,0.00,53.00
7.00,98.00,0.00,56.00
8.00,107.00,0.00,64.00
9.00,124.00,0.00,65.00
