# num_candidates,non_optimized_distance,optimized_distance,VRP_distance
1.00,18.00,0.00,19.00
2.00,65.00,0.00,40.00
3.00,100.00,0.00,60.00
4.00,127.00,0.00,75.00
5.00,162.00,0.00,87.00
6.00,195.00,0.00,106.00
7.00,234.00,0.00,128.00
8.00,263.00,0.00,141.00
9.00,294.00,0.00,159.00
