# num_candidates,non_optimized_distance,optimized_distance,VRP_distance
1.00,7.00,0.00,12.00
2.00,22.00,0.00,24.00
3.00,47.00,0.00,38.00
4.00,78.00,0.00,47.00
5.00,86.00,0.00,56.00
6.00,115.00,0.00,68.00
7.00,125.00,0.00,80.00
8.00,139.00,0.00,90.00
9.00,164.00,0.00,93.00
