# num_candidates,non_optimized_distance,optimized_distance,VRP_distance
1.00,7.00,0.00,12.00
2.00,31.00,0.00,21.00
3.00,44.00,0.00,33.00
4.00,70.00,0.00,36.00
5.00,82.00,0.00,43.00
6.00,94.00,0.00,57.00
7.00,121.00,0.00,63.00
8.00,129.00,0.00,70.00
9.00,151.00,0.00,75.00
