# num_candidates,non_optimized_distance,optimized_distance,VRP_distance
1.00,81.00,0.00,81.00
2.00,254.00,0.00,167.00
3.00,397.00,0.00,252.00
4.00,547.00,0.00,317.00
5.00,664.00,0.00,393.00
6.00,847.00,0.00,465.00
7.00,940.00,0.00,535.00
8.00,1055.00,0.00,604.00
9.00,1179.00,0.00,683.00
