# num_candidates,non_optimized_distance,optimized_distance,VRP_distance
1.00,6.00,0.00,10.00
2.00,32.00,0.00,19.00
3.00,44.00,0.00,29.00
4.00,63.00,0.00,36.00
5.00,74.00,0.00,43.00
6.00,83.00,0.00,49.00
7.00,103.00,0.00,52.00
8.00,117.00,0.00,60.00
9.00,120.00,0.00,65.00
