# num_candidates,non_optimized_distance,optimized_distance,VRP_distance
1.00,21.00,0.00,20.00
2.00,51.00,0.00,41.00
3.00,99.00,0.00,61.00
4.00,132.00,0.00,79.00
5.00,166.00,0.00,91.00
6.00,197.00,0.00,106.00
7.00,233.00,0.00,131.00
8.00,258.00,0.00,146.00
9.00,283.00,0.00,164.00
