# num_candidates,non_optimized_distance,optimized_distance,VRP_distance
1.00,315.00,0.00,349.00
2.00,968.00,0.00,689.00
3.00,1550.00,0.00,984.00
4.00,2074.00,0.00,1277.00
5.00,2536.00,0.00,1582.00
6.00,2963.00,0.00,1816.00
7.00,3299.00,0.00,2204.00
8.00,3638.00,0.00,2673.00
9.00,3879.00,0.00,3180.00
