# num_candidates,non_optimized_distance,optimized_distance,VRP_distance
1.00,7.00,0.00,10.00
2.00,32.00,0.00,19.00
3.00,46.00,0.00,33.00
4.00,69.00,0.00,42.00
5.00,78.00,0.00,45.00
6.00,91.00,0.00,52.00
7.00,118.00,0.00,66.00
8.00,127.00,0.00,76.00
9.00,149.00,0.00,77.00
