# num_candidates,non_optimized_distance,optimized_distance,VRP_distance
1.00,19.00,0.00,19.00
2.00,63.00,0.00,37.00
3.00,94.00,0.00,55.00
4.00,132.00,0.00,73.00
5.00,151.00,0.00,81.00
6.00,172.00,0.00,99.00
7.00,194.00,0.00,106.00
8.00,230.00,0.00,121.00
9.00,234.00,0.00,122.00
