# num_candidates,non_optimized_distance,optimized_distance,VRP_distance
1.00,84.00,0.00,85.00
2.00,262.00,0.00,177.00
3.00,414.00,0.00,264.00
4.00,565.00,0.00,343.00
5.00,737.00,0.00,426.00
6.00,900.00,0.00,523.00
7.00,1034.00,0.00,597.00
8.00,1188.00,0.00,676.00
9.00,1351.00,0.00,752.00
