# num_candidates,non_optimized_distance,optimized_distance,VRP_distance
1.00,21.00,0.00,20.00
2.00,64.00,0.00,40.00
3.00,98.00,0.00,57.00
4.00,137.00,0.00,79.00
5.00,178.00,0.00,93.00
6.00,192.00,0.00,112.00
7.00,233.00,0.00,126.00
8.00,273.00,0.00,139.00
9.00,303.00,0.00,152.00
