# num_candidates,non_optimized_distance,optimized_distance,VRP_distance
1.00,83.00,0.00,83.00
2.00,247.00,0.00,180.00
3.00,408.00,0.00,263.00
4.00,564.00,0.00,335.00
5.00,737.00,0.00,426.00
6.00,889.00,0.00,516.00
7.00,1040.00,0.00,581.00
8.00,1218.00,0.00,664.00
9.00,1354.00,0.00,741.00
