# num_candidates,non_optimized_distance,optimized_distance,VRP_distance
1.00,81.00,0.00,82.00
2.00,243.00,0.00,168.00
3.00,398.00,0.00,245.00
4.00,565.00,0.00,321.00
5.00,683.00,0.00,383.00
6.00,813.00,0.00,457.00
7.00,944.00,0.00,528.00
8.00,1065.00,0.00,621.00
9.00,1199.00,0.00,676.00
