# num_candidates,non_optimized_distance,optimized_distance,VRP_distance
1.00,19.00,0.00,20.00
2.00,62.00,0.00,41.00
3.00,102.00,0.00,60.00
4.00,148.00,0.00,80.00
5.00,169.00,0.00,92.00
6.00,207.00,0.00,110.00
7.00,230.00,0.00,123.00
8.00,261.00,0.00,144.00
9.00,291.00,0.00,152.00
