# num_candidates,non_optimized_distance,optimized_distance,VRP_distance
1.00,20.00,0.00,19.00
2.00,62.00,0.00,40.00
3.00,97.00,0.00,53.00
4.00,116.00,0.00,70.00
5.00,147.00,0.00,84.00
6.00,174.00,0.00,96.00
7.00,202.00,0.00,117.00
8.00,220.00,0.00,113.00
9.00,236.00,0.00,134.00
