# num_candidates,non_optimized_distance,optimized_distance,VRP_distance
1.00,84.00,0.00,82.00
2.00,264.00,0.00,179.00
3.00,417.00,0.00,285.00
4.00,577.00,0.00,373.00
5.00,743.00,0.00,468.00
6.00,910.00,0.00,560.00
7.00,1073.00,0.00,645.00
8.00,1238.00,0.00,734.00
9.00,1397.00,0.00,813.00
