# num_candidates,non_optimized_distance,optimized_distance,VRP_distance
1.00,7.00,0.00,12.00
2.00,33.00,0.00,22.00
3.00,47.00,0.00,35.00
4.00,75.00,0.00,46.00
5.00,86.00,0.00,57.00
6.00,98.00,0.00,68.00
7.00,125.00,0.00,72.00
8.00,166.00,0.00,91.00
9.00,165.00,0.00,97.00
