# num_candidates,non_optimized_distance,optimized_distance,VRP_distance
1.00,21.00,0.00,22.00
2.00,66.00,0.00,45.00
3.00,93.00,0.00,65.00
4.00,132.00,0.00,85.00
5.00,175.00,0.00,109.00
6.00,214.00,0.00,129.00
7.00,250.00,0.00,147.00
8.00,293.00,0.00,174.00
9.00,332.00,0.00,192.00
