# num_candidates,non_optimized_distance,optimized_distance,VRP_distance
1.00,316.00,0.00,352.00
2.00,975.00,0.00,700.00
3.00,1542.00,0.00,970.00
4.00,2077.00,0.00,1272.00
5.00,2519.00,0.00,1547.00
6.00,2945.00,0.00,1817.00
7.00,3302.00,0.00,2207.00
8.00,3641.00,0.00,2600.00
9.00,3861.00,0.00,3066.00
