# num_candidates,non_optimized_distance,optimized_distance,VRP_distance
1.00,335.00,0.00,387.00
2.00,1062.00,0.00,777.00
3.00,1702.00,0.00,1131.00
4.00,2366.00,0.00,1486.00
5.00,3010.00,0.00,1809.00
6.00,3658.00,0.00,2130.00
7.00,4305.00,0.00,2487.00
8.00,4937.00,0.00,2815.00
9.00,5551.00,0.00,3179.00
