source_labware,dest_labware,num_samples,repeat,unoptimized,rowwise,greedy,VRP
24,12,67,3,87,77,98.0,56
24,12,79,3,96,84,113.0,57
24,12,91,3,107,83,109.0,60
24,12,103,3,139,103,144.0,74
24,12,115,3,155,120,169.0,79
24,24,19,1,21,23,25.0,17
24,24,43,1,59,52,66.0,42
24,24,67,1,96,83,103.0,59
24,24,91,1,125,96,136.0,69
24,24,115,1,155,130,164.0,86
24,24,139,1,190,154,195.0,112
24,24,163,1,235,178,240.0,129
24,24,187,1,274,189,265.0,134
24,24,211,1,304,213,302.0,166
24,24,235,1,330,235,329.0,162
24,24,19,2,15,16,17.0,13
24,24,43,2,57,53,63.0,43
24,24,67,2,90,73,98.0,55
24,24,91,2,131,109,138.0,79
24,24,115,2,165,125,161.0,88
24,24,139,2,198,133,207.0,107
24,24,163,2,242,182,239.0,129
24,24,187,2,269,190,263.0,144
24,24,211,2,298,205,304.0,158
24,24,235,2,323,238,326.0,171
24,24,19,3,29,27,31.0,21
24,24,43,3,49,47,52.0,38
24,24,67,3,100,83,105.0,57
24,24,91,3,136,109,136.0,83
24,24,115,3,169,127,174.0,93
24,24,139,3,180,140,189.0,95
24,24,163,3,232,172,230.0,125
24,24,187,3,274,186,264.0,141
24,24,211,3,295,201,284.0,163
24,24,235,3,319,237,331.0,175
24,96,91,1,133,122,130.0,91
24,96,187,1,292,217,272.0,169
24,96,283,1,456,326,410.0,263
24,96,379,1,543,391,478.0,304
24,96,475,1,728,489,646.0,410
24,96,571,1,841,558,755.0,492
24,96,667,1,969,614,892.0,545
24,96,763,1,1096,696,1013.0,606
24,96,859,1,1242,773,1155.0,693
24,96,955,1,1342,839,1290.0,747
24,96,91,2,143,121,141.0,91
24,96,187,2,300,222,274.0,172
24,96,283,2,445,318,410.0,245
24,96,379,2,601,407,512.0,329
24,96,475,2,733,480,664.0,414
24,96,571,2,854,572,765.0,479
24,96,667,2,1007,661,913.0,557
24,96,763,2,1074,698,987.0,612
24,96,859,2,1235,749,1150.0,688
24,96,955,2,1340,805,1243.0,772
24,96,91,3,138,116,135.0,84
24,96,187,3,283,224,267.0,164
24,96,283,3,451,324,414.0,254
24,96,379,3,597,420,523.0,327
24,96,475,3,745,504,645.0,400
24,96,571,3,875,555,783.0,493
24,96,667,3,998,634,898.0,539
24,96,763,3,1124,715,1040.0,624
24,96,859,3,1244,792,1133.0,691
24,96,955,3,1342,804,1249.0,752
24,384,379,1,634,510,536.0,367
24,384,763,1,1239,894,991.0,711
24,384,1147,1,1904,1311,1541.0,1051
24,384,1531,1,2475,1665,2015.0,1380
24,384,1915,1,3109,2004,2549.0,1698
24,384,2299,1,3708,2327,3022.0,2016
24,384,2683,1,4247,2629,3544.0,2398
24,384,3067,1,4853,2936,4017.0,2804
24,384,3451,1,5371,3225,4476.0,3205
24,384,3835,1,5996,3457,4955.0,3514
24,384,379,2,618,493,523.0,382
24,384,763,2,1242,919,998.0,722
24,384,1147,2,1888,1303,1547.0,1065
24,384,1531,2,2520,1675,2049.0,1391
24,384,1915,2,3077,2054,2547.0,1717
24,384,2299,2,3655,2307,3035.0,2014
24,384,2683,2,4135,2591,3414.0,2303
24,384,3067,2,4796,2897,4003.0,2745
