source_labware,dest_labware,num_samples,repeat,unoptimized,rowwise,greedy,VRP
24,12,96,1,230,195,253.66,146.97
24,12,108,1,267,217,286.24,171.27
24,12,120,1,300,255,330.2,195.23
24,12,12,2,30,31,32.3,28.25
24,12,24,2,57,57,64.1,49.01
24,12,36,2,88,83,97.95,67.13
24,12,48,2,116,112,130.15,84.15
24,12,60,2,142,133,159.37,103.59
24,12,72,2,183,160,205.76,125.25
24,12,84,2,216,183,233.47,141.18
24,12,96,2,236,196,262.74,152.16
24,12,108,2,267,235,294.87,176.55
24,12,120,2,296,249,325.11,191.72
24,12,12,3,31,34,31.98,30.57
24,12,24,3,60,60,64.75,49.45
24,12,36,3,97,91,106.15,73.69
24,12,48,3,111,105,133.53,85.28
24,12,60,3,150,137,162.02,105.01
24,12,72,3,184,158,204.3,125.22
24,12,84,3,216,184,230.52,147.06
24,12,96,3,244,218,277.76,162.25
24,12,108,3,269,239,310.68,180.46
24,12,120,3,301,222,322.36,182.09
24,24,24,1,61,58,66.05,50.86
24,24,48,1,125,112,137.52,87.08
24,24,72,1,192,165,209.86,135.89
24,24,96,1,251,225,275.7,172.08
24,24,120,1,311,247,327.53,188.3
24,24,144,1,382,297,413.31,230.5
24,24,168,1,443,329,471.96,261.01
24,24,192,1,486,392,544.64,311.36
24,24,216,1,553,420,596.54,333.96
24,24,240,1,620,459,662.35,370.17
24,24,24,2,59,58,64.7,51.78
24,24,48,2,119,118,138.98,93.98
24,24,72,2,189,157,206.45,124.34
24,24,96,2,253,198,265.86,159.31
24,24,120,2,342,298,363.66,213.98
24,24,144,2,370,293,386.09,227.0
24,24,168,2,440,329,463.42,262.91
24,24,192,2,516,395,530.24,296.26
24,24,216,2,576,423,603.09,343.75
24,24,240,2,619,479,661.4,368.15
24,24,24,3,59,62,67.52,50.1
24,24,48,3,128,125,145.49,91.98
24,24,72,3,191,154,202.76,128.12
24,24,96,3,247,215,268.4,162.86
24,24,120,3,311,258,317.95,194.16
24,24,144,3,387,307,412.66,242.2
24,24,168,3,437,360,470.82,277.57
24,24,192,3,484,389,531.32,292.14
24,24,216,3,545,415,583.37,327.15
24,24,240,3,605,481,681.82,373.58
24,96,96,1,261,234,267.62,185.53
24,96,192,1,524,418,539.72,333.98
24,96,288,1,801,618,803.91,499.55
24,96,384,1,1069,803,1097.6,645.45
24,96,480,1,1339,997,1401.04,813.84
24,96,576,1,1553,1139,1609.56,926.64
24,96,672,1,1809,1309,1892.11,1108.64
24,96,768,1,2016,1490,2167.73,1248.12
24,96,864,1,2258,1631,2432.33,1379.15
24,96,960,1,2497,1751,2680.6,1533.5
24,96,96,2,257,232,266.5,174.86
24,96,192,2,530,420,533.28,335.97
24,96,288,2,817,647,841.84,514.37
24,96,384,2,1068,828,1085.6,635.37
24,96,480,2,1293,960,1368.42,799.12
24,96,576,2,1577,1137,1642.17,960.95
24,96,672,2,1781,1287,1906.01,1065.46
24,96,768,2,2020,1463,2135.59,1221.07
24,96,864,2,2269,1648,2434.77,1384.96
24,96,960,2,2438,1728,2673.78,1474.01
